id,avg_success_prob,g_didi,r_didi,s_didi,gen_male,gen_fem,gen_nan,sex_lgbt,sex_nonlgbt,race_black,race_hisp,race_white,race_other
13,0.477490572,0.006881236,0.004948196,0.006104154,0.482510482,0.474656933,0.28146991,0.519934038,0.519934038,0.471449824,0.474459089,0.485196854,0.443118583
12,0.47155474,0.00688822,0.005024619,0.041108813,0.47547031,0.474656933,0.28146991,0.527294784,0.527294784,0.483622257,0.474459089,0.464810504,0.443118583
11,0.467552773,0.006892673,0.008488769,0.000621533,0.47072379,0.474656933,0.28146991,0.468174301,0.468174301,0.475031744,0.474459089,0.46248804,0.443118583
10,0.481162172,0.005757149,0.004598458,0.09018778,0.482925482,0.498857876,0.28146991,0.571349952,0.571349952,0.481516595,0.474459089,0.485626627,0.445804668
9,0.535344047,0.005402831,0.045033329,0.218918058,0.535669395,0.569613214,0.28146991,0.754262106,0.754262106,0.570708858,0.526268896,0.521215056,0.443118583
8,0.644949868,0.009370003,0.056533766,0.106794151,0.643768399,0.704133176,0.28146991,0.74839517,0.74839517,0.686428225,0.675253606,0.624191155,0.445804668
7,0.645126324,0.017642798,0.024773222,0.058242722,0.655495994,0.633377838,0.28146991,0.703369045,0.703369045,0.657293674,0.675253606,0.644362619,0.445804668
6,0.645126324,0.017642798,0.024773222,0.012398486,0.655495994,0.633377838,0.28146991,0.65752481,0.65752481,0.657293674,0.675253606,0.644362619,0.445804668
5,0.645092431,0.017635815,0.047368798,0.023238058,0.655455796,0.633377838,0.28146991,0.66833049,0.66833049,0.679864004,0.675253606,0.628945654,0.445804668
4,0.645302779,0.017642548,0.024772706,0.012398486,0.643977683,0.705418779,0.28146991,0.65752481,0.65752481,0.628159123,0.675253606,0.664534082,0.445804668
3,0.467531155,0.00688822,0.005024626,0.041108824,0.47069815,0.474656933,0.28146991,0.508639979,0.508639979,0.471551501,0.474459089,0.464810504,0.443118583
2,0.467525166,0.006886986,0.044721597,0.003777438,0.470691048,0.474656933,0.28146991,0.471302605,0.471302605,0.511244012,0.474459089,0.43780738,0.443118583
1,0.467497263,0.006881237,0.004947498,0.006104161,0.470657952,0.474656933,0.28146991,0.473601423,0.473601423,0.471449824,0.474459089,0.464810504,0.443118583
0,0.635414807,0.017642548,0.024772706,0.012398486,0.643977683,0.633377838,0.28146991,0.65752481,0.65752481,0.628159123,0.675253606,0.644362619,0.445804668
