Parameter,Life years saved,Overall survival probability,Survival probability by group_16-39,Survival probability by group_40-49,Survival probability by group_50-59,Survival probability by group_60-69,Survival probability by group_70-79,Survival probability by group_80+,Coefficient of variation of survival probabilities by group,CCU probability by group_16-39,CCU probability by group_40-49,CCU probability by group_50-59,CCU probability by group_60-69,CCU probability by group_70-79,CCU probability by group_80+,Coefficient of variation of CCU probabilities by group
regression_tree0,974847.5,0.543898992,0.767906977,0.715703847,0.592015778,0.483704421,0.363937138,0.395490555,0.275703568,0.902790698,0.905004826,0.903563656,0.909390126,0.9068445,1,0.038292898
regression_tree1,973011.5,0.543333647,0.766976744,0.716806839,0.588955386,0.480154889,0.374379653,0.374162096,0.280628998,0.9,0.9051427,0.89914309,0.905259761,0.930624483,0.943936624,0.018653526
regression_tree2,1017522,0.552925657,0.813023256,0.757479664,0.627652339,0.508228461,0.288875103,0.276051188,0.384074064,0.954883721,0.954225838,0.954502176,0.957470152,0.715467328,0.698354662,0.134313866
regression_tree3,990878.5,0.546235749,0.850697674,0.712119123,0.588955386,0.480283963,0.360835401,0.347958562,0.327406358,1,0.899903488,0.897306855,0.903259116,0.89846981,0.888482633,0.042062202
regression_tree4,966135.5,0.542165269,0.731395349,0.688680546,0.601809032,0.490868022,0.370967742,0.357708714,0.269063181,0.858837209,0.870122708,0.917641458,0.924169087,0.922353184,0.909811091,0.028947423
regression_tree5,1023764,0.553773674,0.850697674,0.754997932,0.624523939,0.508228461,0.283498759,0.275441804,0.397373829,1,0.951744106,0.949673558,0.954953211,0.706989247,0.698354662,0.141885042
regression_tree6,928285.5,0.536285687,0.702790698,0.657796774,0.538220892,0.52959019,0.402812242,0.395490555,0.214932567,0.824418605,0.829174135,0.822633297,0.999096483,0.998759305,0.999390615,0.095214353
regression_tree7,924774.5,0.536361067,0.583023256,0.688956294,0.569028836,0.529783801,0.402812242,0.296160878,0.25034742,0.683488372,0.870398456,0.867042982,0.999548241,0.999483044,0.7519805,0.135528776
regression_tree8,961594,0.541411476,0.756744186,0.70095133,0.580318281,0.471894159,0.403019024,0.395490555,0.254344286,0.889767442,0.883220736,0.883025027,0.887963859,1,1,0.058221541
regression_tree10,977126.5,0.544502026,0.773488372,0.717634082,0.593103917,0.482994514,0.362799835,0.395490555,0.278737605,0.906511628,0.905280574,0.901863439,0.907905776,0.905500414,1,0.038318463
regression_tree11,940883,0.537906341,0.613023256,0.574383014,0.658392274,0.502936431,0.379445823,0.364411944,0.21675625,0.719069767,0.72480353,1,0.945853501,0.942721257,0.936014625,0.127979973
regression_tree12,1034998.5,0.554225949,0.849767442,0.792086033,0.6570321,0.430913198,0.326819686,0.312004875,0.384612792,0.998604651,0.998069764,0.997619695,0.812003872,0.810690653,0.795856185,0.106521329
regression_tree13,975493,0.544030905,0.771627907,0.715290225,0.591743743,0.483833495,0.363523573,0.395490555,0.277044522,0.905581395,0.904039708,0.902203482,0.91100355,0.906637717,1,0.03816879
regression_tree14,980492.5,0.54506737,0.779069767,0.718185578,0.596028292,0.484027106,0.364247312,0.352224254,0.298251156,0.913255814,0.905969943,0.905943961,0.910035495,0.908085194,0.898232785,0.005103364
regression_tree15,986302,0.546198059,0.784186047,0.723011168,0.600176823,0.487641175,0.367349049,0.264472882,0.343845391,0.919069767,0.912450021,0.91226877,0.91732817,0.915012407,0.678244973,0.100888766
regression_tree16,1001834,0.548817488,0.850697674,0.793326899,0.574265506,0.46892546,0.351943755,0.363802559,0.344396235,1,1,0.874387922,0.882542756,0.878101737,0.915904936,0.059032335
regression_tree17,980585.5,0.545123905,0.778604651,0.723149042,0.593920022,0.484027106,0.364040529,0.353443023,0.298769436,0.913023256,0.912725769,0.904107726,0.910035495,0.907258065,0.895795247,0.006554201
regression_tree18,977332,0.544332423,0.773023256,0.718323452,0.592627856,0.48434979,0.365281224,0.365021328,0.290021448,0.906976744,0.906521439,0.903427639,0.912875121,0.908705542,0.935405241,0.011733553
regression_tree19,997633,0.549382832,0.730930233,0.685509444,0.654787813,0.528428525,0.286186931,0.276660573,0.349579326,0.859069767,0.866124362,0.99476333,0.995805098,0.713192721,0.701401584,0.137719286
regression_tree21,982963.5,0.546386507,0.699302326,0.65559079,0.654787813,0.528428525,0.303453267,0.293113955,0.319433156,0.821627907,0.829036261,0.99476333,0.995805098,0.756100083,0.737355271,0.121404112
regression_tree22,939978,0.538151324,0.64,0.600854819,0.628332427,0.507647628,0.385545906,0.373552712,0.21004055,0.75,0.758306907,0.955386289,0.956308487,0.954094293,0.946983547,0.105888307
regression_tree23,936700,0.537096014,0.62627907,0.584309941,0.634929271,0.511455308,0.388957816,0.333333333,0.225631068,0.735116279,0.735971322,0.965655604,0.965666344,0.963709677,0.856794637,0.11810131
regression_tree24,1016671,0.552096485,0.850697674,0.745071005,0.617315016,0.502097451,0.299834574,0.291285801,0.381239444,1,0.938921825,0.938792165,0.943594708,0.748242349,0.73857404,0.115459331
regression_tree25,967911.5,0.541147649,0.850697674,0.556321522,0.61398259,0.50106486,0.376137304,0.361365021,0.302917236,1,0.702467944,0.933691513,0.94101323,0.934966915,0.92321755,0.104129905
regression_tree26,955034,0.542146424,0.61372093,0.734316834,0.607385745,0.494998387,0.372932175,0.363193175,0.253152291,0.717209302,0.927616159,0.923490207,0.928944821,0.925868486,0.923826935,0.087320758
