TreeDepth,NumBranchingNodes,NumBranchingFeatures,NumProtectedBranchingFeatures,ATE,CATE_race_White,CATE_race_Black,CATE_race_Other,CATE_gender_f,CATE_gender_m,CATE_gender_t,"CATE_age_[25,41]","CATE_age_(41,48]","CATE_age_(48,54]","CATE_age_(54,84]",minCATE_race,minCATE_gender,minCATE_age
2,0,77,10,0.449676824,0.451673366,0.441050053,0.484566879,0.487948961,0.440006645,0.522709195,0.495365491,0.472437092,0.463958239,0.449676824,0.441050053,0.440006645,0.449676824
1,1,80,10,0.441028332,0.449400807,0.423122947,0.472710874,0.43884492,0.441220137,0.501443174,0.484290671,0.464230538,0.452823893,0.441028332,0.423122947,0.43884492,0.441028332
1,0,79,9,0.442028711,0.431315391,0.40414706,0.782894527,0.441752916,0.441736415,0.506461521,0.485523728,0.465810446,0.453286228,0.442028711,0.40414706,0.441736415,0.442028711
3,1,74,10,0.451485693,0.460842371,0.432760425,0.478831112,0.436878499,0.454409527,0.561244374,0.570193626,0.527973379,0.489065937,0.451485693,0.432760425,0.436878499,0.451485693
3,1,74,10,0.445066448,0.453106682,0.42768446,0.47666578,0.431990636,0.446792792,0.703205381,0.491866054,0.473243651,0.457977482,0.445066448,0.42768446,0.431990636,0.445066448
2,1,78,9,0.449294039,0.38095295,0.531630514,0.5910653,0.448983929,0.448983929,0.51841419,0.494994059,0.479242724,0.463009477,0.449294039,0.38095295,0.448983929,0.449294039
2,0,77,10,0.458545628,0.464255973,0.44640781,0.479687969,0.534623193,0.439678827,0.539899892,0.503017728,0.491548851,0.474090629,0.458545628,0.44640781,0.439678827,0.458545628
2,0,77,10,0.451616731,0.46500084,0.429942532,0.458666586,0.443313176,0.452968864,0.569629746,0.515606702,0.487776475,0.464469806,0.451616731,0.429942532,0.443313176,0.451616731
3,1,74,10,0.46298017,0.474199965,0.438139612,0.510744316,0.481493581,0.458080981,0.538043877,0.589135085,0.543909989,0.496371678,0.46298017,0.438139612,0.458080981,0.46298017
2,0,77,10,0.456978856,0.462517249,0.442658609,0.493469832,0.536313103,0.436970225,0.601787685,0.493003331,0.481439084,0.471169117,0.456978856,0.442658609,0.436970225,0.456978856
1,0,79,10,0.455359426,0.464439306,0.435657789,0.491496847,0.481104637,0.448696487,0.532827879,0.518595658,0.502926405,0.476221607,0.455359426,0.435657789,0.448696487,0.455359426
1,0,79,10,0.445744013,0.446990253,0.439154667,0.475079337,0.490375817,0.434403474,0.542302314,0.484487244,0.471585294,0.45771453,0.445744013,0.439154667,0.434403474,0.445744013
3,1,74,10,0.455659777,0.473218719,0.42821319,0.45870807,0.420917216,0.463679374,0.525527116,0.509212733,0.484301908,0.468002819,0.455659777,0.42821319,0.420917216,0.455659777
3,1,75,9,0.455476673,0.464326068,0.433235377,0.509767781,0.492982425,0.445613225,0.596479455,0.652948136,0.534421645,0.487121151,0.455476673,0.433235377,0.445613225,0.455476673
2,1,78,9,0.441028332,0.449400807,0.423122947,0.472710874,0.43884492,0.441220137,0.501443174,0.484290671,0.464230538,0.452823893,0.441028332,0.423122947,0.43884492,0.441028332
2,0,77,10,0.444488771,0.450450994,0.421987096,0.528225894,0.443665505,0.444267837,0.519894446,0.483807457,0.466879926,0.453993037,0.444488771,0.421987096,0.443665505,0.444488771
2,0,77,10,0.458219244,0.467430239,0.43659906,0.505130268,0.426388661,0.464943369,0.634084749,0.519161726,0.509205964,0.479599908,0.458219244,0.43659906,0.426388661,0.458219244
3,1,74,9,0.451865255,0.459453881,0.438333291,0.463660554,0.437822036,0.454910186,0.515396551,0.638013421,0.566034983,0.497611831,0.451865255,0.438333291,0.437822036,0.451865255
2,0,77,10,0.462809046,0.447899076,0.483284756,0.477977076,0.60108077,0.428558826,0.60342511,0.510985103,0.490453553,0.473375317,0.462809046,0.447899076,0.428558826,0.462809046
2,0,77,10,0.4468997,0.45119478,0.437653036,0.463536812,0.481969735,0.437883802,0.541599697,0.488278473,0.474508453,0.461753388,0.4468997,0.437653036,0.437883802,0.4468997
1,0,79,10,0.441942239,0.445038762,0.432128498,0.473682914,0.441712569,0.441712569,0.493133165,0.493384652,0.462233853,0.452625866,0.441942239,0.432128498,0.441712569,0.441942239
1,0,79,10,0.441753189,0.449720403,0.424456883,0.473518392,0.448317768,0.44006445,0.459676998,0.481484264,0.466786399,0.454664492,0.441753189,0.424456883,0.44006445,0.441753189
3,1,75,9,0.470911926,0.468786008,0.473601075,0.474519834,0.634270552,0.42985965,0.742554765,0.504285127,0.492770394,0.477842846,0.470911926,0.468786008,0.42985965,0.470911926
3,1,74,10,0.457510024,0.473353475,0.427353828,0.49408345,0.458093244,0.456715014,0.574846412,0.529613165,0.507432983,0.477859837,0.457510024,0.427353828,0.456715014,0.457510024
2,1,78,10,0.461838021,0.488232166,0.420621053,0.466168986,0.404537147,0.475534686,0.49273497,0.583106192,0.549636378,0.507772113,0.461838021,0.420621053,0.404537147,0.461838021
2,3,80,10,0.100245295,0.121230288,0.066006094,0.112905825,0.085254915,0.103881803,0.098754822,0.147495884,0.130137727,0.115094784,0.100245295,0.066006094,0.085254915,0.100245295
2,3,80,10,0.081839882,0.10735694,0.040878847,0.093014238,0.00890552,0.099948624,0,0.107555748,0.10006992,0.092040725,0.081839882,0.040878847,0,0.081839882
3,1,74,7,0.07974123,0.105842377,0.037921954,0.090673461,2.63E-15,0.09948578,3.23E-17,0.102916415,0.096593873,0.089391577,0.07974123,0.037921954,3.23E-17,0.07974123
2,0,77,10,0.443974347,0.446891407,0.430751988,0.498828926,0.450487662,0.442008157,0.513914456,0.48767104,0.461985705,0.452459654,0.443974347,0.430751988,0.442008157,0.443974347
2,0,77,9,0.449216083,0.466547929,0.414311032,0.501245198,0.429694746,0.452884122,0.638866322,0.492958837,0.477549997,0.460698718,0.449216083,0.414311032,0.429694746,0.449216083
1,0,79,10,0.458919142,0.46307747,0.449368791,0.478778869,0.619034919,0.420289043,0.436742347,0.523633632,0.497197353,0.473588271,0.458919142,0.449368791,0.420289043,0.458919142
1,0,79,10,0.441556842,0.449753041,0.420273081,0.496132839,0.439611998,0.441688158,0.502464605,0.489852112,0.473621238,0.45513059,0.441556842,0.420273081,0.439611998,0.441556842
3,1,74,10,0.441487708,0.447574195,0.4258512,0.48095685,0.456529499,0.43705072,0.584395206,0.477270496,0.460355031,0.451018093,0.441487708,0.4258512,0.43705072,0.441487708
3,1,75,9,0.439702307,0.464299286,0.402206385,0.438000335,0.173988437,0.504687614,0.318901033,0.176386923,0.362564708,0.421432874,0.439702307,0.402206385,0.173988437,0.176386923
2,1,78,9,0.420110196,0.439462484,0.391823405,0.411154292,1.44E-16,0.520398363,0.670153264,0.421847866,0.418172486,0.427300018,0.420110196,0.391823405,1.44E-16,0.418172486
2,0,77,9,0.455451135,0.344404255,0.640265774,0.365680455,0.509182101,0.441494225,0.626312818,0.495846234,0.479837955,0.465166373,0.455451135,0.344404255,0.441494225,0.455451135
2,0,77,10,0.462318973,0.467175033,0.448922614,0.499586608,0.619502083,0.424904045,0.34945275,0.533918915,0.510791674,0.478273997,0.462318973,0.448922614,0.34945275,0.462318973
3,1,74,9,0.440351788,0.44101924,0.431872523,0.487119687,0.415710888,0.445892083,0.516382043,0.570377202,0.545311056,0.530846985,0.440351788,0.431872523,0.415710888,0.440351788
2,0,77,10,0.45144988,0.464564451,0.427454089,0.475661529,0.411462964,0.460981837,0.477702411,0.498117234,0.476621958,0.464477207,0.45144988,0.427454089,0.411462964,0.45144988
2,0,77,10,0.437530944,0.443569024,0.428219628,0.437783171,0.448479716,0.434231021,0.554164433,0.451930992,0.441133678,0.443274748,0.437530944,0.428219628,0.434231021,0.437530944
1,0,79,10,0.442841446,0.451070042,0.425162013,0.474492394,0.442578061,0.442578061,0.501546907,0.487355919,0.466493469,0.454787408,0.442841446,0.425162013,0.442578061,0.442841446
1,0,79,10,0.457375048,0.468293744,0.439079251,0.466978938,0.480502021,0.450731774,0.645035741,0.508474255,0.488876386,0.472843538,0.457375048,0.439079251,0.450731774,0.457375048
3,1,74,9,0.449538607,0.446674899,0.446805603,0.494271419,0.506441451,0.434431568,0.689027751,0.511702188,0.477491467,0.463031225,0.449538607,0.446674899,0.434431568,0.449538607
3,1,75,10,0.458532807,0.467719876,0.438189477,0.497663543,0.457628593,0.457628593,0.660072085,0.523576756,0.494927873,0.473145093,0.458532807,0.438189477,0.457628593,0.458532807
2,1,78,10,0.452933409,0.463421371,0.432760922,0.478460664,0.441839363,0.454721265,0.613957017,0.507167825,0.490542377,0.470275484,0.452933409,0.432760922,0.441839363,0.452933409
