,Policy,PolicyType,UsesProtectedFeatures,IsInterpretable,AverageSuccess,AverageSuccessWhiteOther,AverageSuccessBlackHispanic,AverageSuccessHi,AverageSuccessLow,AverageSuccessMid,AverageSuccessHiBlackHispanic,AverageSuccessHiWhiteOther,AverageSuccessLowBlackHispanic,AverageSuccessLowWhiteOther,AverageSuccessMidBlackHispanic,AverageSuccessMidWhiteOther,AverageTreatmentEffectWhiteOther,AverageTreatmentEffectBlackHispanic,AverageTreatmentEffectHi,AverageTreatmentEffectMid,AverageTreatmentEffectHiBlackHispanic,AverageTreatmentEffectHiWhiteOther,AverageTreatmentEffectMidBlackHispanic,AverageTreatmentEffectMidWhiteOther
1,1,FCFS,0,TRUE,0.617786723,0.66174332,0.566448767,0.334335292,0.911935355,0.701617341,0.287350888,0.378385101,0.902868972,0.918297387,0.65411518,0.741659578,0.073481816,0.088653863,0.169963726,0.054454863,0.16364814,0.175884847,0.066712618,0.044122114
2,2,TAY,0,TRUE,0.611826723,0.653715119,0.56290427,0.2988675,0.928294444,0.705300955,0.262643733,0.33282877,0.920835434,0.933528556,0.657616001,0.745497279,0.065453615,0.085109367,0.134495934,0.058138477,0.138940985,0.130328516,0.070213438,0.047959814
3,3,RANDOM_MATCH_FCFS,0,FALSE,0.630603104,0.674108351,0.579792291,0.363244941,0.900762774,0.710478889,0.315621183,0.407894172,0.890225497,0.908156957,0.663565912,0.750024471,0.085846847,0.101997388,0.198873375,0.063316411,0.191918435,0.205393918,0.076163349,0.052487007
4,4,RANDOM_MATCH_FCFS,1,TRUE,0.629558052,0.722167333,0.521397471,0.389595044,0.912073295,0.696828505,0.206103799,0.561625626,0.881497906,0.933528556,0.622419064,0.7595524,0.133905828,0.043602567,0.225223478,0.049666028,0.082401051,0.359125372,0.035016501,0.062014935
5,5,RANDOM_MATCH_FCFS,1,FALSE,0.61705598,0.671612522,0.553338098,0.280511137,0.904573124,0.723404707,0.203101676,0.353085689,0.907070539,0.902820647,0.670162034,0.768285944,0.083351018,0.075543194,0.116139571,0.076242229,0.079398928,0.150585435,0.082759471,0.07074848
6,6,RANDOM_MATCH_FCFS,1,TRUE,0.615051293,0.658744035,0.564021501,0.41808491,0.896224393,0.664827075,0.377629568,0.456013455,0.920835434,0.878954414,0.609414724,0.711537254,0.070482531,0.086226597,0.253713344,0.017664597,0.25392682,0.253513201,0.022012162,0.01399979
7,7,RANDOM_MATCH_FCFS,1,FALSE,0.607255254,0.639039041,0.570134213,0.323826706,0.91169844,0.68993981,0.261969329,0.381820539,0.870438827,0.940651001,0.674013518,0.703364975,0.050777536,0.09233931,0.15945514,0.042777332,0.138266581,0.179320285,0.086610955,0.005827511
8,8,RANDOM_MATCH_FCFS,1,TRUE,0.628331711,0.669781202,0.579921864,0.35799702,0.912418325,0.707891116,0.257898943,0.451843081,0.9075764,0.915815985,0.687094361,0.725421867,0.081519698,0.102126961,0.193625454,0.060728638,0.134196195,0.249342827,0.099691799,0.027884403
9,9,RANDOM_MATCH_FCFS,0,FALSE,0.632624361,0.67484711,0.583311408,0.344529674,0.926659577,0.718372776,0.302211154,0.384205026,0.91836114,0.93248273,0.671983463,0.757476931,0.086585606,0.105516505,0.180158108,0.071210298,0.178508406,0.181704772,0.0845809,0.059939467
10,10,RANDOM_MATCH_FCFS,0,TRUE,0.626419599,0.668561143,0.577201487,0.363916676,0.935347909,0.70002249,0.328214875,0.397388581,0.929623726,0.939364664,0.650203873,0.742017398,0.080299638,0.099406584,0.19954511,0.052860012,0.204512127,0.194888327,0.062801311,0.044479933
11,11,RANDOM_MATCH_FCFS,1,FALSE,0.641313328,0.693034929,0.580906439,0.36964283,0.903157013,0.723876807,0.260394808,0.472067341,0.875084333,0.922856082,0.690755271,0.751796809,0.104773425,0.103111535,0.205271264,0.07671433,0.13669206,0.269567087,0.103352709,0.054259345
12,12,RANDOM_MATCH_FCFS,0,TRUE,0.620188256,0.662960065,0.570234043,0.296152272,0.930194338,0.718921091,0.247978324,0.341317327,0.923805317,0.934677621,0.674927756,0.756005542,0.074698561,0.092439139,0.131780706,0.071758613,0.124275576,0.138817073,0.087525194,0.058468077
13,13,RANDOM_MATCH_FCFS,0,FALSE,0.612307979,0.653627965,0.564049384,0.322913441,0.906832003,0.698535792,0.287453809,0.356158304,0.897874514,0.913117623,0.650887885,0.738700887,0.065366461,0.086254481,0.158541875,0.051373314,0.163751061,0.15365805,0.063485322,0.041163422
14,14,RANDOM_MATCH_FCFS,0,TRUE,0.592806479,0.639799623,0.537922069,0.30532234,0.882987692,0.678729907,0.255011574,0.352490751,0.876515167,0.887529572,0.62702722,0.722313003,0.051538119,0.060127165,0.140950774,0.031567429,0.131308826,0.149990497,0.039624657,0.024775538
15,15,RANDOM_MATCH_FCFS,1,FALSE,0.603226684,0.675796306,0.518470897,0.354070799,0.905705666,0.672064969,0.243596388,0.4576451,0.907249402,0.9046224,0.599092048,0.73357794,0.087534802,0.040675994,0.189699233,0.024902491,0.11989364,0.255144846,0.011689486,0.036040476
16,16,RANDOM_MATCH_FCFS,1,TRUE,0.6123229,0.664754631,0.551086633,0.384893471,0.8845172,0.675590018,0.376374396,0.392880453,0.867216524,0.896657374,0.595459594,0.74313645,0.076493127,0.07329173,0.220521905,0.02842754,0.252671648,0.190380199,0.008057032,0.045598985
17,17,RANDOM_MATCH_FCFS,1,FALSE,0.643918883,0.681653575,0.59984764,0.347895927,0.925103956,0.734339364,0.28648191,0.405474092,0.904353333,0.939665016,0.705566413,0.758593699,0.09339207,0.122052736,0.183524361,0.087176886,0.162779162,0.202973838,0.11816385,0.061056234
18,18,RANDOM_MATCH_FCFS,1,TRUE,0.626930358,0.673666754,0.572345809,0.347658594,0.924146886,0.708707186,0.272117647,0.418481337,0.926030846,0.92282488,0.66746616,0.743471561,0.08540525,0.094550906,0.183287028,0.061544708,0.148414899,0.215981083,0.080063598,0.045934097
19,19,RANDOM_MATCH_FCFS,1,FALSE,0.62341443,0.680415731,0.556841256,0.360009985,0.911492019,0.699689475,0.299831901,0.416429412,0.922131535,0.904026093,0.632045341,0.756710512,0.092154226,0.079046352,0.195638419,0.052526997,0.176129153,0.213929158,0.044642778,0.059173047
